reader,platform,mode,action,key,notes
JAWS,Windows,Table,"Read row header","Insert+Control+Left","Reads header for current row"
JAWS,Windows,Table,"Read current cell","Insert+Control+Numpad5",""
VoiceOver,macOS,Web,"VO key","Control+Option","All VO commands start with VO (Control+Option)"
VoiceOver,macOS,Web,"Next element","VO+Right Arrow",""
VoiceOver,macOS,Web,"Previous element","VO+Left Arrow",""
VoiceOver,macOS,Web,"Activate element","VO+Space",""
VoiceOver,macOS,Web,"Open Web Rotor","VO+U","Navigate by headings/links/landmarks/tables/images"
VoiceOver,macOS,Web,"Next heading","VO+Command+H","Shift for previous"
VoiceOver,macOS,Web,"Next link","VO+Command+L","Shift for previous"
VoiceOver,macOS,Web,"Next table","VO+Command+T","Shift for previous"
VoiceOver,macOS,Web,"Next form control","VO+Command+J","Shift for previous"
VoiceOver,macOS,Web,"Next landmark","VO+Command+L (in rotor)","Set rotor to Landmarks first"
VoiceOver,macOS,Web,"Read from here","VO+A",""
VoiceOver,macOS,Web,"Stop speech","Control",""
VoiceOver,macOS,Web,"Toggle VoiceOver","Command+F5",""
VoiceOver,macOS,Table,"Read column header","VO+C",""
VoiceOver,macOS,Table,"Read row header","VO+R",""
VoiceOver,macOS,Table,"Navigate cells","VO+Arrow Keys",""
VoiceOver,iOS,General,"Next element","Swipe Right",""
VoiceOver,iOS,General,"Previous element","Swipe Left",""
VoiceOver,iOS,General,"Activate element","Double Tap",""
VoiceOver,iOS,General,"Scroll","Three-finger swipe",""
VoiceOver,iOS,General,"Open Rotor","Two-finger rotation","Rotor: headings/links/form controls/tables"
VoiceOver,iOS,General,"Navigate by rotor item","Swipe Up or Down","After setting rotor to desired type"
VoiceOver,iOS,General,"Read from top","Two-finger swipe Up",""
VoiceOver,iOS,General,"Read from current","Two-finger swipe Down",""
VoiceOver,iOS,General,"Stop speech","Two-finger tap",""
VoiceOver,iOS,General,"Activate first item","Two-finger triple tap","Magic Tap - app-specific"
TalkBack,Android,General,"Next element","Swipe Right",""
TalkBack,Android,General,"Previous element","Swipe Left",""
TalkBack,Android,General,"Activate element","Double Tap",""
TalkBack,Android,General,"Scroll","Three-finger swipe",""
TalkBack,Android,General,"Open local context menu","Swipe Up then Right","Navigate: characters/words/headings/links"
TalkBack,Android,General,"Open global context menu","Swipe Down then Right","Back/Home/Notifications/etc."
TalkBack,Android,General,"Navigate by headings","Set reading control to Headings then swipe Up/Down","Reading control: swipe Up then Down or Down then Up"
TalkBack,Android,General,"Navigate by links","Set reading control to Links then swipe Up/Down",""
TalkBack,Android,General,"Read from top","Three-finger swipe Up (in TalkBack menu)","Or use global context menu > Read from top"
TalkBack,Android,General,"Pause/Resume speech","Two-finger tap",""
Narrator,Windows,Browse,"Next element","Caps Lock+Right Arrow","Narrator key is Caps Lock or Insert"
Narrator,Windows,Browse,"Previous element","Caps Lock+Left Arrow",""
Narrator,Windows,Browse,"Next heading","H","In scan mode (Caps Lock+Space to toggle)"
Narrator,Windows,Browse,"Next link","K","In scan mode"
Narrator,Windows,Browse,"Next landmark","D","In scan mode"
Narrator,Windows,Browse,"Toggle scan mode","Caps Lock+Space","Similar to browse mode in NVDA/JAWS"
Narrator,Windows,Browse,"Read from here","Caps Lock+M",""
Narrator,Windows,Browse,"Stop speech","Control",""
