pattern_id,pattern_name,user_group,wcag_ref,coga_objective,description,design_guidance,implementation_notes,testing_notes
COG011,Use consistent and predictable navigation,Cognitive disabilities / ADHD / Autism,3.2.3 3.2.4,Make it understandable,Navigation items should appear in the same place and same order on every page. Unexpected changes cause disorientation.,"Do not reorder nav items based on most used. Keep logo link to homepage. Consistent breadcrumbs.",Test on multiple pages that nav order and location are identical.,Automated: compare DOM order of nav elements across 5 pages.
COG012,Support interrupted and resumed tasks,Cognitive disabilities / Chronic illness,2.2.5 3.3.7,Give users enough time,Users may lose focus or have to stop. They need to resume where they left off without losing data.,"Save form state every 30s. Email a resume link for long forms. Provide explicit save progress button.","Implement autosave with aria-live='polite' announcing 'Progress saved'.",Test by refreshing mid-form and confirming data persistence.
COG013,Minimize distractions,ADHD / Autism / Anxiety,2.2.2 2.3.1,Keep it simple,Animated content moving elements auto-playing media and pop-ups compete for attention and can cause cognitive overload.,"Respect prefers-reduced-motion. Stop all animations on user request. Do not auto-play video with sound.","@media (prefers-reduced-motion: reduce) { * { animation: none !important; } }",Test with browser set to prefers-reduced-motion: reduce.
COG014,Provide adequate whitespace and visual separation,Dyslexia / ADHD / Low vision,1.4.12 1.4.8 (AAA),Help users understand,Dense text and poor visual hierarchy make it hard to track position and parse content.,"Body text: max 75 chars/line. Paragraph spacing >= 2x font size. Left-align body text - avoid justified.",Implement CSS text-spacing overrides and verify nothing clips (SC 1.4.12).,Text-spacing bookmarklet test. Check no text is clipped at 1.5x line-height.
COG015,Use clear visual hierarchy,Cognitive disabilities / ADHD,1.3.1 2.4.6,Help users understand,Users scan pages for structure before reading. Clear hierarchy guides attention and reduces cognitive effort.,"One H1 per page. Headings should describe the section content. Use H2-H3 consistently. Do not skip heading levels.",Automated: axe checks heading order. Manual: read headings list in NVDA (Insert+F7).,NVDA elements list: every heading should make sense out of context.
COG016,Provide search and filtering,Cognitive disabilities / Low memory,2.4.5,Support different approaches,Not everyone can navigate hierarchical menus. Search lets users go directly to content they remember by keyword.,"Add site search. Provide filter/sort on long lists. Show 'X results for Y'. Allow clear-all filters in one click.","Implement search with role='search' landmark. Results list: aria-live='polite' with count announcement.",Test keyboard navigation through filter options and results.
COG017,Use consistent vocabulary,Cognitive disabilities,3.1.3 (AAA),Help users understand,Calling the same thing by different names ('cart' vs 'basket' vs 'bag') is confusing. Create a product glossary and stick to it.,Define a vocabulary list. Do not synonymize to sound varied - repeat the same word. Provide a glossary page or tooltip definitions for technical terms.,"Consider <abbr title='definition'>term</abbr> for inline definitions.",Audit the product for the same concept referred to by multiple names.
COG018,Provide helpful defaults and suggestions,Cognitive disabilities / Anxiety,3.3.5 (AAA),Help users understand,Pre-selected sensible defaults reduce decision fatigue. Autocompletion reduces typing burden and errors.,Pre-populate fields where possible. Offer autocomplete suggestions. Use sensible default form values. Show examples.,autocomplete attributes on all personal data fields. Placeholder text: supplement (not replace) labels.,Test that autocomplete is not blocked. Verify placeholder text has sufficient contrast (3:1).
COG019,Provide text alternatives for audio and video,D/deaf / Cognitive disabilities,1.2.1 1.2.2 1.2.3,Help users perceive,Some users process written text better than audio. Transcripts benefit people with ADHD cognitive disabilities and situational limitations.,"Provide captions for all video. Provide transcripts for podcasts/audio. Offer text summaries for long videos.",Caption format: WebVTT preferred. Include speaker identification and meaningful non-speech sounds.,Verify captions sync with audio. Test with captions on and sound off.
COG020,Support task completion across sessions,Cognitive disabilities / Chronic illness,2.2.5,Give users enough time,Multi-step processes should not require completion in a single session.,"Send resume link via email. Save progress server-side with a unique ID. Clearly indicate where the user left off. Provide 'Save and continue later' button on every step.",Implement server-side session persistence. Generate shareable resume URLs.,Test by logging out mid-process and resuming from a different browser.
