component,role,required_aria,optional_aria,keyboard,focus_management,notes,wcag_ref
Listbox,listbox + option,"aria-selected on option; aria-labelledby on listbox","aria-multiselectable; aria-required; aria-disabled on option","Arrow keys: navigate; Space: select (multi); Enter: confirm; Home/End: first/last","Focus on listbox container or first option","Single-select: only one aria-selected=true; Multi: multiple allowed",4.1.2
Tree,tree + treeitem,"aria-expanded (if has children); aria-selected","aria-level; aria-setsize; aria-posinset","Arrow Right: expand/move to child; Arrow Left: collapse/move to parent; Arrow Down/Up: navigate; Enter: activate","Focus follows active treeitem","aria-expanded only on items with children; leaf nodes omit it",4.1.2
Grid,grid + row + gridcell,"aria-rowcount; aria-colcount; aria-rowindex; aria-colindex","aria-sort on columnheader; aria-selected on row; aria-readonly","Arrow keys: navigate cells; Enter: edit mode; Escape: cancel edit; Tab: next interactive in cell","Focus on active cell","Grid for interactive data; use table+th for read-only data",4.1.2
Tooltip,tooltip,"aria-describedby on trigger referencing tooltip id","","No keyboard interaction (tooltip follows focus/hover)","No focus management","Never use role=tooltip as the trigger; tooltip must not contain interactive elements; visible on keyboard focus",1.3.1
Alert,alert,"","aria-live=assertive is implicit","No keyboard needed","No focus management","Inject into DOM to trigger announcement; don't use display:none toggle; aria-live=assertive interrupts user",4.1.3
Status,status,"","aria-live=polite is implicit","No keyboard needed","No focus management","Use for non-urgent updates (form saved, cart updated); polite waits for idle",4.1.3
Progress Bar,progressbar,"aria-valuenow; aria-valuemin; aria-valuemax","aria-label; aria-labelledby; aria-valuetext","No keyboard needed","No focus management","Use aria-valuetext for human-readable value (e.g. '3 of 10 steps'); indeterminate: omit valuenow",4.1.2
Slider,slider,"aria-valuenow; aria-valuemin; aria-valuemax","aria-label; aria-orientation; aria-valuetext","Arrow keys: increment/decrement; Home/End: min/max; Page Up/Down: large step","Focus on slider thumb","Step size via aria-valuetext; vertical slider needs aria-orientation=vertical",4.1.2
Switch,switch,"aria-checked (true/false)","aria-label","Enter/Space: toggle","No focus management needed","Switch ≠ checkbox; use for on/off settings; do not use aria-pressed",4.1.2
Breadcrumb,nav (aria-label=Breadcrumb) + ol + li + a,"aria-current=page on last item","","Tab: navigate links","No focus management needed","Last item is current page; optionally not a link",2.4.8
Pagination,nav (aria-label=Pagination),"aria-current=page on active page link","aria-label per page link if text is just a number","Tab: navigate links","No focus management needed","Each page link needs unique accessible name",2.4.3
Skip Link,a,"","","Enter: activate and move focus to target","Move focus to target element (add tabindex=-1 to target)","Must be first focusable element; visible on focus; target needs tabindex=-1 if not normally focusable",2.4.1
Disclosure (Show/Hide),button,"aria-expanded; aria-controls","","Enter/Space: toggle","Focus stays on button","If content is always in DOM use hidden attr; aria-expanded=false means content hidden",4.1.2
Carousel,region or section,"aria-roledescription=carousel; aria-label","aria-live=off (default); rotation controls","Tab: navigate controls; Arrow keys if implemented","Focus management optional","Pause auto-rotation on hover/focus; provide prev/next controls; each slide: role=group aria-roledescription=slide",2.2.2
Date Picker,dialog (calendar popup),"aria-label on calendar; aria-selected on selected date; aria-current=date on today","aria-disabled on unavailable dates","Arrow keys: navigate days; Page Up/Down: prev/next month; Enter: select; Escape: close","Move focus into calendar on open; return to input on close","Provide text input fallback; calendar dialog uses same pattern as modal dialog",2.1.1
Drag and Drop,,"aria-grabbed (deprecated); use aria-describedby to explain keyboard instructions","","Tab: reach draggable; Space/Enter: pick up; Arrow keys: move; Space/Enter: drop; Escape: cancel","Focus follows dragged item","aria-grabbed is deprecated in ARIA 1.1; prefer cut/paste model or move buttons as keyboard alternative",2.1.1
