id,level,principle,criterion,description,techniques,failures,url
3.3.1,A,Understandable,Error Identification,"Error items identified and described in text","G83 describe error in text; ARIA18 aria-describedby error","",https://www.w3.org/WAI/WCAG21/Understanding/error-identification
3.3.2,A,Understandable,Labels or Instructions,"Labels or instructions provided for user input","G89 expected format; G184 required fields; H90 mandatory indicator","F82 missing label for required field; F86 missing label for checkbox",https://www.w3.org/WAI/WCAG21/Understanding/labels-or-instructions
3.3.3,AA,Understandable,Error Suggestion,"Error corrections suggested when known (not security risk)","G85 suggestions for error correction","",https://www.w3.org/WAI/WCAG21/Understanding/error-suggestion
3.3.4,AA,Understandable,Error Prevention (Legal Financial Data),"Submissions reviewable/confirmable/reversible for legal/financial/test data","G98 review before submitting; G99 rollback; G155 checkbox to confirm","",https://www.w3.org/WAI/WCAG21/Understanding/error-prevention-legal-financial-data
4.1.1,A,Robust,Parsing,"Valid HTML: unique IDs; complete tags; correct nesting; correct attribute names","G134 validate HTML; G192 fully conforming to spec","F70 duplicate IDs; F77 nesting elements incorrectly",https://www.w3.org/WAI/WCAG21/Understanding/parsing
4.1.2,A,Robust,Name Role Value,"All UI components: name and role programmatically determined; state/property/value settable and notifiable","ARIA14 aria-label; ARIA16 aria-labelledby; H64 title on frame; H65 title on input","F15 custom controls no name; F59 using script to create custom controls; F79 focus lost during interaction",https://www.w3.org/WAI/WCAG21/Understanding/name-role-value
4.1.3,AA,Robust,Status Messages,"Status messages programmatically determinable via role/property without focus","ARIA19 role=alert; ARIA22 aria-live","",https://www.w3.org/WAI/WCAG21/Understanding/status-messages
2.4.11,AA,Operable,Focus Not Obscured (Minimum),"When a UI component has focus it is not entirely hidden by author-created content (sticky headers/footers/cookie banners)","G1 skip links away from sticky UI; SCR-28 scroll into view; CSS scroll-padding","F110 focus obscured by sticky header/footer",https://www.w3.org/WAI/WCAG22/Understanding/focus-not-obscured-minimum
2.4.12,AAA,Operable,Focus Not Obscured (Enhanced),"Focused component is entirely visible; no part obscured by author content","Reserve space via scroll-padding or margin","",https://www.w3.org/WAI/WCAG22/Understanding/focus-not-obscured-enhanced
2.4.13,AAA,Operable,Focus Appearance,"Focus indicator at least as large as 2 CSS px perimeter and meets 3:1 contrast against adjacent colors","Thick visible outline; double outline on light+dark bg","Thin/low-contrast focus ring",https://www.w3.org/WAI/WCAG22/Understanding/focus-appearance
2.5.7,AA,Operable,Dragging Movements,"Functionality using drag has a single-pointer alternative (click/tap)","Reorder via menu/buttons; slider increment buttons alongside drag","F108 drag-only with no alternative",https://www.w3.org/WAI/WCAG22/Understanding/dragging-movements
2.5.8,AA,Operable,Target Size (Minimum),"Pointer targets at least 24x24 CSS px except inline in text, equivalent alternative, user-agent default, or essential","Space targets; enlarge hit area; underlying target 24x24","Tight icon toolbars below 24px",https://www.w3.org/WAI/WCAG22/Understanding/target-size-minimum
3.2.6,A,Understandable,Consistent Help,"If help mechanisms (contact info/chat/self-help/contact form) are included on multiple pages they appear in the same relative order","Help link in consistent nav slot across pages","",https://www.w3.org/WAI/WCAG22/Understanding/consistent-help
3.3.7,A,Understandable,Redundant Entry,"Information already entered in a process is auto-populated or available to select (except essential re-entry)","Persist address across steps; offer 'same as shipping' checkbox","",https://www.w3.org/WAI/WCAG22/Understanding/redundant-entry
3.3.8,AA,Understandable,Accessible Authentication (Minimum),"No cognitive function test (remember/transcribe/solve puzzle) unless alternative exists or object recognition/personal content is used","Allow password managers; offer magic link/WebAuthn; copy-paste allowed","Block paste in password; CAPTCHA without audio/alt",https://www.w3.org/WAI/WCAG22/Understanding/accessible-authentication-minimum
3.3.9,AAA,Understandable,Accessible Authentication (Enhanced),"No cognitive function test at all for authentication","WebAuthn; biometrics; magic link","",https://www.w3.org/WAI/WCAG22/Understanding/accessible-authentication-enhanced
